site,file_name,buf_crop_1992,buf_crop_2005,buf_past_1993,buf_past_2009,buf_HFP_1993,buf_HFP_2009,temp
23438,df_France_Irzetal_part2.xlsx,7,0,0,1,12.05229912,5.652299118,9.95
23935,df_France_Irzetal_part2.xlsx,1.75,1.75,0,0.5,34,29.25,11.65
23085,df_France_Irzetal_part2.xlsx,0,0,0,0,5.285611153,4.285611153,9.55
21817,df_France_Irzetal_part2.xlsx,7,0,0,0,18.86104774,12.66104832,10.75
21763,df_France_Irzetal_part2.xlsx,0,0,0,0,7.001040101,7.001039982,7.25
23402,df_France_Irzetal_part2.xlsx,7,3.5,0,0,15,11.5,10.45
22856,df_France_Irzetal_part2.xlsx,1.75,5.25,0,0,13.50022745,19.50022721,12.85
22219,df_France_Irzetal_part2.xlsx,5.6,0,0.2,1,17,13.8,9.95
21712,df_France_Irzetal_part2.xlsx,7,0,0,1,12.25323057,5.253230333,10.25
22147,df_France_Irzetal_part2.xlsx,0,0,0,0,15.67430937,14.42430937,10.95
21711,df_France_Irzetal_part2.xlsx,0,0,1,1,5.282496214,5.282496214,9.55
23872,df_France_Irzetal_part2.xlsx,1.4,7,0,0,14.67095375,18.87095337,12.25
23774,df_France_Irzetal_part2.xlsx,7,1.75,0,0.75,28,24,10.95
22890,df_France_Irzetal_part2.xlsx,3.5,3.5,0,0,22.41314793,22.91314793,11.55
21795,df_France_Irzetal_part2.xlsx,0,0,1,1,5.282496214,5.282496214,9.55
21931,df_France_Irzetal_part2.xlsx,0,0,0,0,8.259925652,6.259925556,9.95
21924,df_France_Irzetal_part2.xlsx,7,0,0,0,33,37,11.45
23632,df_France_Irzetal_part2.xlsx,0,0,0,0,5.692225647,4.892225647,9.55
21796,df_France_Irzetal_part2.xlsx,0,0,0,0.2,32.54564476,30.74564476,10.65
22291,df_France_Irzetal_part2.xlsx,3.5,0,0.5,1,12.51692259,11.76692247,10.05
23922,df_France_Irzetal_part2.xlsx,7,0,0,0,9.052072716,1.452072692,9.35
23972,df_France_Irzetal_part2.xlsx,7,0,0,2,20.01578712,15.01578712,11.25
21682,df_France_Irzetal_part2.xlsx,3.5,0,0.5,1,14.84461506,13.01128165,10.05
22803,df_France_Irzetal_part2.xlsx,7,1.4,0,0.8,30.4,26.2,10.95
21595,df_France_Irzetal_part2.xlsx,7,1.75,0,0,32.93205595,33.93205595,11.45
23401,df_France_Irzetal_part2.xlsx,7,2.333333333,0,0,25.38152059,21.38152059,11.25
23878,df_France_Irzetal_part2.xlsx,5.25,3.5,0,0,27.15131807,26.90131807,12.15
22862,df_France_Irzetal_part2.xlsx,5.25,1.75,0,1,20.76181889,19.26181936,11.15
23737,df_France_Irzetal_part2.xlsx,7,1.4,0,0.8,30.4,26.2,10.95
22073,df_France_Irzetal_part2.xlsx,0,0,0,0.5,31.3641119,26.3641119,11.15
23180,df_France_Irzetal_part2.xlsx,7,1.75,0,0.75,28,24,10.95
21835,df_France_Irzetal_part2.xlsx,7,0,0,0,18.26277065,12.26277113,10.75
21687,df_France_Irzetal_part2.xlsx,5.6,0,0,0,30.89128952,34.09128952,11.55
23770,df_France_Irzetal_part2.xlsx,0,7,1,0,18.64528322,25.89528322,12.55
22452,df_France_Irzetal_part2.xlsx,7,0,0,1,16.18378258,11.58378258,10.55
22400,df_France_Irzetal_part2.xlsx,1.75,0,0,0,25.85462284,21.35462284,12.15
22781,df_France_Irzetal_part2.xlsx,0,0,0,0,35.55475807,35.55475807,11.75
22896,df_France_Irzetal_part2.xlsx,0,0,0,0,41.55770645,41.15770645,14.25
21904,df_France_Irzetal_part2.xlsx,0,0,0,0,38,38,11.55
21782,df_France_Irzetal_part2.xlsx,0,4.2,0.8,0,13.34312229,21.3431221,0.65
22265,df_France_Irzetal_part2.xlsx,0,0,0,0,5.026957989,4.826958036,11.15
23033,df_France_Irzetal_part2.xlsx,7,0,0,2,12.12574935,7.12574935,11.05
23851,df_France_Irzetal_part2.xlsx,7,0,0,2,14.12574911,9.12574935,11.45
23448,df_France_Irzetal_part2.xlsx,7,0,0,1.2,16.24212036,11.04212084,11.35
23874,df_France_Irzetal_part2.xlsx,7,0,0,1,25,18.5,10.55
23413,df_France_Irzetal_part2.xlsx,7,0,0,2,12.09599352,7.095993519,11.45
22659,df_France_Irzetal_part2.xlsx,0,0,0,0,28.90711355,28.90711355,10.45
22810,df_France_Irzetal_part2.xlsx,7,7,0,0,17.50083828,17.25083828,11.25
23748,df_France_Irzetal_part2.xlsx,0,7,0,0,6.272099018,13.27209911,-0.35
23322,df_France_Irzetal_part2.xlsx,0,5.6,1,0.2,6.403320694,11.20332069,2.25
22992,df_France_Irzetal_part2.xlsx,0,0,0,0,29.00742569,29.20742569,8.85
21986,df_France_Irzetal_part2.xlsx,7,0,0,1.5,14.67430949,12.17430949,9.95
22559,df_France_Irzetal_part2.xlsx,0,0,0,0,29.00742569,29.20742569,8.85
23019,df_France_Irzetal_part2.xlsx,0,0,0,0,4.402695274,4.802695274,10.85
23347,df_France_Irzetal_part2.xlsx,1.75,0,0,0,21.68205595,21.18205595,10.55
23775,df_France_Irzetal_part2.xlsx,7,0,0,1,17,11.5,8.45
21604,df_France_Irzetal_part2.xlsx,7,0,0,1,25,17.5,8.85
22646,df_France_Irzetal_part2.xlsx,7,0,0,0,16.90363808,9.703638458,8.65
22343,df_France_Irzetal_part2.xlsx,5.6,0,0,0,9.401629734,3.801629448,8.85
22772,df_France_Irzetal_part2.xlsx,7,0,0,1,17.8,13.4,10.75
22889,df_France_Irzetal_part2.xlsx,7,0,0,1,24.2,17.2,8.75
22815,df_France_Irzetal_part2.xlsx,7,0,0,2,20.5,17,8.05
23995,df_France_Irzetal_part2.xlsx,0,7,0.5,0,20.8641119,28.8641119,11.65
22455,df_France_Irzetal_part2.xlsx,0,0,0,0,40.00007248,40.20007248,11.25
23299,df_France_Irzetal_part2.xlsx,7,0,0,1,12.03384495,6.033845186,8.15
23309,df_France_Irzetal_part2.xlsx,0,0,0,0,4.254991245,3.854991293,7.45
22805,df_France_Irzetal_part2.xlsx,3.5,0,0,0,7.254666686,3.754666746,8.65
22181,df_France_Irzetal_part2.xlsx,0,7,1,0,26.63275385,34.63275385,11.55
21701,df_France_Irzetal_part2.xlsx,7,7,0,0,26.25,26.5,11.55
23297,df_France_Irzetal_part2.xlsx,7,7,0,0,18.94564476,22.34564476,13.65
23020,df_France_Irzetal_part2.xlsx,7,0,0,1,14.90738702,9.657387018,8.05
23873,df_France_Irzetal_part2.xlsx,7,0,0,1,14.72590961,9.325909615,12.15
22151,df_France_Irzetal_part2.xlsx,5.25,1.75,0,0,19.15738702,15.40738702,9.75
22654,df_France_Irzetal_part2.xlsx,0,0,0,0,4.429492791,3.096159697,11.35
23494,df_France_Irzetal_part2.xlsx,7,0,0,1.4,12.53846321,6.73846302,11.55
23483,df_France_Irzetal_part2.xlsx,0,0,0,0,17.25,17,11.35
23121,df_France_Irzetal_part2.xlsx,7,0,0,0,10.75750732,3.757507324,10.95
23732,df_France_Irzetal_part2.xlsx,7,7,0,0,24.48184204,25.48184204,11.85
22666,df_France_Irzetal_part2.xlsx,3.5,0,0,0,5.750837743,3.250837803,11.15
21814,df_France_Irzetal_part2.xlsx,7,7,0,0,18.94564476,22.34564476,13.65
23032,df_France_Irzetal_part2.xlsx,0,0,0,0,4.377692461,4.377692461,10.85
23118,df_France_Irzetal_part2.xlsx,7,0,0,0,17,10,9.35
21785,df_France_Irzetal_part2.xlsx,7,7,0,0,11.26565671,11.26565671,13.15
21702,df_France_Irzetal_part2.xlsx,7,7,0,0,13.81477404,15.06477404,12.05
22166,df_France_Irzetal_part2.xlsx,7,7,0,0,18.94564476,22.34564476,13.65
21630,df_France_Irzetal_part2.xlsx,1.4,0,0,0,37,38,13.75
23029,df_France_Irzetal_part2.xlsx,7,1.75,0,0,11.61898947,6.368989229,10.75
23745,df_France_Irzetal_part2.xlsx,5.25,1.75,0,0,19.15738702,15.40738702,9.75
22984,df_France_Irzetal_part2.xlsx,0,0,0,0,2.401790679,2.401790679,7.45
22998,df_France_Irzetal_part2.xlsx,3.5,0,0,0,5.750837743,3.250837803,11.15
22285,df_France_Irzetal_part2.xlsx,7,7,0,0,13.81477404,15.06477404,12.05
